Date,Value
2018-08-31,2827.0
2018-07-31,2818.0
2018-06-30,2812.0
2018-05-31,2814.0
2018-04-30,2818.0
2018-03-31,2825.0
2018-02-28,2831.0
2018-01-31,2837.0
2017-12-31,2841.0
2017-11-30,2849.0
2017-10-31,2856.0
2017-09-30,2873.0
2017-08-31,2870.0
2017-07-31,2862.0
2017-06-30,2830.0
2017-05-31,2801.0
2017-04-30,2762.0
2017-03-31,2740.0
2017-02-28,2741.0
2017-01-31,2767.0
2016-12-31,2801.0
2016-11-30,2825.0
2016-10-31,2830.0
2016-09-30,2814.0
2016-08-31,2784.0
2016-07-31,2758.0
2016-06-30,2721.0
2016-05-31,2684.0
2016-04-30,2640.0
2016-03-31,2623.0
2016-02-29,2616.0
2016-01-31,2628.0
2015-12-31,2639.0
2015-11-30,2657.0
2015-10-31,2666.0
2015-09-30,2654.0
2015-08-31,2630.0
2015-07-31,2598.0
2015-06-30,2578.0
2015-05-31,2568.0
2015-04-30,2568.0
2015-03-31,2573.0
2015-02-28,2587.0
2015-01-31,2605.0
2014-12-31,2625.0
2014-11-30,2647.0
2014-10-31,2649.0
2014-09-30,2617.0
2014-08-31,2570.0
2014-07-31,2549.0
2014-06-30,2567.0
2014-05-31,2594.0
2014-04-30,2607.0
2014-03-31,2601.0
2014-02-28,2593.0
2014-01-31,2595.0
2013-12-31,2617.0
2013-11-30,2640.0
2013-10-31,2664.0
2013-09-30,2659.0
2013-08-31,2630.0
2013-07-31,2584.0
2013-06-30,2540.0
2013-05-31,2508.0
2013-04-30,2484.0
2013-03-31,2473.0
2013-02-28,2476.0
2013-01-31,2491.0
2012-12-31,2509.0
2012-11-30,2531.0
2012-10-31,2552.0
2012-09-30,2576.0
2012-08-31,2567.0
2012-07-31,2538.0
2012-06-30,2500.0
2012-05-31,2480.0
2012-04-30,2473.0
2012-03-31,2473.0
2012-02-29,2478.0
2012-01-31,2483.0
2011-12-31,2483.0
2011-11-30,2488.0
2011-10-31,2495.0
2011-09-30,2507.0
2011-08-31,2517.0
2011-07-31,2525.0
2011-06-30,2533.0
2011-05-31,2527.0
2011-04-30,2517.0
2011-03-31,2506.0
2011-02-28,2485.0
2011-01-31,2392.0
2010-12-31,2253.0
2010-11-30,2068.0
